10338001;NA_10338001
10338002;NA_10338002
10338003;NA_10338003
10338004;NA_10338004
10338005;NA_10338005
10338006;NA_10338006
10338007;NA_10338007
10338008;NA_10338008
10338009;NA_10338009
10338010;NA_10338010
10338011;NA_10338011
10338012;NA_10338012
10338013;NA_10338013
10338014;NA_10338014
10338015;NA_10338015
10338016;NA_10338016
10338017;NA_10338017
10338018;NA_10338018
10338019;NA_10338019
10338020;NA_10338020
10338021;NA_10338021
10338022;NA_10338022
10338023;NA_10338023
10338024;NA_10338024
10338025;NA_10338025
10338026;NA_10338026
10338027;NA_10338027
10338028;NA_10338028
10338029;NA_10338029
10338030;NA_10338030
10338031;NA_10338031
10338032;NA_10338032
10338033;NA_10338033
10338034;NA_10338034
10338035;NA_10338035
10338036;NA_10338036
10338037;NA_10338037
10338038;NA_10338038
10338039;NA_10338039
10338040;NA_10338040
10338041;NA_10338041
10338042;NA_10338042
10338043;NA_10338043
10338044;NA_10338044
10338045;NA_10338045
10338046;NA_10338046
10338047;NA_10338047
10338048;NA_10338048
10338049;NA_10338049
10338050;NA_10338050
10338051;NA_10338051
10338052;NA_10338052
10338053;NA_10338053
10338054;NA_10338054
10338055;NA_10338055
10338056;NA_10338056
10338057;NA_10338057
10338058;NA_10338058
10338059;NA_10338059
10338060;NA_10338060
10338061;NA_10338061
10338062;NA_10338062
10338063;NA_10338063
10338064;NA_10338064
10338065;NA_10338065
10338066;NA_10338066
10338067;NA_10338067
10338068;NA_10338068
10338069;NA_10338069
10338070;NA_10338070
10338071;ENSMUSG00000030751
10338072;ENSMUSG00000029446
10338073;NA_10338073
10338074;ENSMUSG00000030967
10338075;ENSMUSG00000032112
10338076;ENSMUSG00000079477
10338077;ENSMUSG00000020936
10338078;NA_10338078
10338079;NA_10338079
10338080;NA_10338080
10338081;NA_10338081
10338082;NA_10338082
10338083;NA_10338083
10338084;ENSMUSG00000098813 // ENSMUSG00000071415 // ENSMUSG00000064901
10338085;ENSMUSG00000028646
10338086;NA_10338086
10338087;NA_10338087
10338088;NA_10338088
10338089;NA_10338089
10338090;ENSMUSG00000034820
10338091;NA_10338091
10338092;ENSMUSG00000007036
10338093;NA_10338093
10338094;ENSMUSG00000055204
10338095;ENSMUSG00000022193
10338096;NA_10338096
10338097;NA_10338097
10338098;ENSMUSG00000008855
10338099;ENSMUSG00000029234
10338100;NA_10338100
10338101;NA_10338101
10338102;NA_10338102
10338103;NA_10338103
10338104;ENSMUSG00000025261
10338105;NA_10338105
10338106;ENSMUSG00000003346
10338107;ENSMUSG00000070733
10338108;NA_10338108
10338109;NA_10338109
10338110;NA_10338110
10338111;ENSMUSG00000020794
10338112;NA_10338112
10338113;NA_10338113
10338114;NA_10338114
10338115;ENSMUSG00000107171
10338116;ENSMUSG00000088217 // ENSMUSG00000021266
10338117;ENSMUSG00000025156
10338118;NA_10338118
10338119;NA_10338119
10338120;ENSMUSG00000030751
10338121;ENSMUSG00000067851
10338122;ENSMUSG00000029446
10338123;ENSMUSG00000026553
10338124;NA_10338124
10338125;NA_10338125
10338126;NA_10338126
10338127;ENSMUSG00000022100
10338128;ENSMUSG00000028677
10338129;NA_10338129
10338130;NA_10338130
10338131;NA_10338131
10338132;NA_10338132
10338133;NA_10338133
10338134;NA_10338134
10338135;NA_10338135
10338136;NA_10338136
10338137;NA_10338137
10338138;ENSMUSG00000037373
10338139;ENSMUSG00000027828
10338140;NA_10338140
10338141;NA_10338141
10338142;ENSMUSG00000005442
10338143;NA_10338143
10338144;ENSMUSG00000040688
10338145;ENSMUSG00000028759
10338146;NA_10338146
10338147;ENSMUSG00000025261
10338148;NA_10338148
10338149;ENSMUSG00000026553
10338150;ENSMUSG00000018585
10338151;NA_10338151
10338152;NA_10338152
10338153;ENSMUSG00000026878
10338154;ENSMUSG00000020936
10338155;ENSMUSG00000067851
10338156;ENSMUSG00000014355
10338157;NA_10338157
10338158;ENSMUSG00000025224
10338159;NA_10338159
10338160;NA_10338160
10338161;NA_10338161
10338162;NA_10338162
10338163;ENSMUSG00000022100
10338164;NA_10338164
10338165;ENSMUSG00000025224
10338166;ENSMUSG00000025261
10338167;NA_10338167
10338168;ENSMUSG00000025224
10338169;ENSMUSG00000008855
10338170;NA_10338170
10338171;ENSMUSG00000022770
10338172;NA_10338172
10338173;NA_10338173
10338174;NA_10338174
10338175;NA_10338175
10338176;ENSMUSG00000034820
10338177;ENSMUSG00000014355
10338178;NA_10338178
10338179;ENSMUSG00000022770
10338180;ENSMUSG00000028759
10338181;NA_10338181
10338182;NA_10338182
10338183;NA_10338183
10338184;ENSMUSG00000025224
10338185;NA_10338185
10338186;ENSMUSG00000005442
10338187;NA_10338187
10338188;ENSMUSG00000071415 // ENSMUSG00000064901
10338189;NA_10338189
10338190;NA_10338190
10338191;ENSMUSG00000029446
10338192;NA_10338192
10338193;NA_10338193
10338194;NA_10338194
10338195;ENSMUSG00000008855
10338196;ENSMUSG00000030058
10338197;NA_10338197
10338198;ENSMUSG00000026878
10338199;NA_10338199
10338200;NA_10338200
10338201;NA_10338201
10338202;ENSMUSG00000008855
10338203;NA_10338203
10338204;NA_10338204
10338205;ENSMUSG00000001158
10338206;NA_10338206
10338207;NA_10338207
10338208;NA_10338208
10338209;NA_10338209
10338210;NA_10338210
10338211;NA_10338211
10338212;NA_10338212
10338213;NA_10338213
10338214;NA_10338214
10338215;ENSMUSG00000015341
10338216;NA_10338216
10338217;ENSMUSG00000001289
10338218;ENSMUSG00000026965
10338219;ENSMUSG00000008855
10338220;ENSMUSG00000001289
10338221;ENSMUSG00000068328
10338222;NA_10338222
10338223;NA_10338223
10338224;NA_10338224
10338225;ENSMUSG00000021266
10338226;NA_10338226
10338227;NA_10338227
10338228;ENSMUSG00000005442
10338229;NA_10338229
10338230;NA_10338230
10338231;ENSMUSG00000040688
10338232;ENSMUSG00000090733 // ENSMUSG00000050621
10338233;NA_10338233
